created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-09-01T14:22:34+00:00,284,45,1021,24.80,55.00,,,,
2026-09-01T14:22:50+00:00,285,45,1021,24.80,55.00,,,,
2026-09-01T14:23:06+00:00,286,46,1021,24.80,55.00,,,,
2026-09-01T14:23:21+00:00,287,45,1021,24.80,54.00,,,,
2026-09-01T14:23:36+00:00,288,45,1021,24.80,55.00,,,,
2026-09-01T14:23:52+00:00,289,45,1021,25.20,54.00,,,,
2026-09-01T14:24:08+00:00,290,45,1021,25.30,55.00,,,,
2026-09-01T14:24:23+00:00,291,45,1021,25.30,55.00,,,,
2026-09-01T14:24:39+00:00,292,45,1021,25.30,55.00,,,,
2026-09-01T14:24:55+00:00,293,45,1021,25.30,55.00,,,,
2026-09-01T14:25:13+00:00,294,45,1021,25.30,55.00,,,,
2026-09-01T14:25:29+00:00,295,45,1021,25.20,55.00,,,,
2026-09-01T14:25:46+00:00,296,45,1021,25.30,55.00,,,,
2026-09-01T14:26:04+00:00,297,45,1021,25.30,55.00,,,,
2026-09-01T14:26:26+00:00,298,45,1021,25.30,55.00,,,,
2026-09-01T14:26:42+00:00,299,45,1021,25.30,55.00,,,,
2026-09-01T14:26:57+00:00,300,45,1021,24.80,55.00,,,,
2026-09-01T14:27:13+00:00,301,45,1021,24.80,55.00,,,,
2026-09-01T14:27:28+00:00,302,45,1021,24.90,55.00,,,,
2026-09-01T14:27:44+00:00,303,45,1021,25.20,55.00,,,,
2026-09-01T14:28:00+00:00,304,45,1021,25.10,55.00,,,,
2026-09-01T14:28:15+00:00,305,45,1021,25.30,55.00,,,,
2026-09-01T14:28:30+00:00,306,45,1021,25.30,55.00,,,,
2026-09-01T14:28:47+00:00,307,45,1021,25.30,55.00,,,,
2026-09-01T14:29:02+00:00,308,45,1021,25.30,55.00,,,,
2026-09-01T14:29:17+00:00,309,45,1021,25.30,55.00,,,,
2026-09-01T14:29:33+00:00,310,45,1021,25.30,55.00,,,,
2026-09-01T14:29:48+00:00,311,45,1021,25.30,55.00,,,,
2026-09-01T14:30:05+00:00,312,45,1021,25.30,55.00,,,,
2026-09-01T14:30:21+00:00,313,45,1021,25.30,55.00,,,,
2026-09-01T14:30:37+00:00,314,45,1021,25.30,55.00,,,,
2026-09-01T14:30:52+00:00,315,45,1021,25.30,54.00,,,,
2026-09-01T14:31:08+00:00,316,45,1021,25.30,55.00,,,,
2026-09-01T14:31:24+00:00,317,45,1021,25.30,55.00,,,,
2026-09-01T14:31:39+00:00,318,45,1021,25.30,55.00,,,,
2026-09-01T14:31:55+00:00,319,45,1021,25.30,55.00,,,,
2026-09-01T14:32:10+00:00,320,45,1021,25.30,55.00,,,,
2026-09-01T14:32:26+00:00,321,45,1021,25.30,55.00,,,,
2026-09-01T14:32:41+00:00,322,45,1020,25.30,55.00,,,,
2026-09-01T14:32:58+00:00,323,45,1021,25.30,55.00,,,,
2026-09-01T14:33:14+00:00,324,45,1021,25.30,55.00,,,,
2026-09-01T14:33:29+00:00,325,45,1021,25.30,55.00,,,,
2026-09-01T14:33:45+00:00,326,45,1021,25.30,55.00,,,,
2026-09-01T14:34:00+00:00,327,45,1021,25.30,55.00,,,,
2026-09-01T14:34:16+00:00,328,45,1021,25.30,55.00,,,,
2026-09-01T14:34:33+00:00,329,45,1021,25.30,55.00,,,,
2026-09-01T14:34:49+00:00,330,45,1021,25.30,55.00,,,,
2026-09-01T14:35:05+00:00,331,45,1021,25.30,55.00,,,,
2026-09-01T14:35:20+00:00,332,45,1021,25.30,55.00,,,,
2026-09-01T14:35:36+00:00,333,45,1021,25.30,55.00,,,,
2026-09-01T14:35:52+00:00,334,45,1021,25.30,55.00,,,,
2026-09-01T14:36:07+00:00,335,45,1021,25.30,55.00,,,,
2026-09-01T14:36:22+00:00,336,45,1021,25.30,55.00,,,,
2026-09-01T14:36:38+00:00,337,45,1021,25.30,55.00,,,,
2026-09-01T14:36:53+00:00,338,45,1021,25.30,55.00,,,,
2026-09-01T14:37:08+00:00,339,45,1021,25.30,55.00,,,,
2026-09-01T14:37:24+00:00,340,46,1021,25.30,55.00,,,,
2026-09-01T14:37:40+00:00,341,45,1021,25.30,55.00,,,,
2026-09-01T14:37:55+00:00,342,45,1021,25.30,55.00,,,,
2026-09-01T14:38:11+00:00,343,45,1021,25.30,55.00,,,,
2026-09-01T14:38:26+00:00,344,45,1021,25.30,55.00,,,,
2026-09-01T14:38:42+00:00,345,45,1021,25.30,55.00,,,,
2026-09-01T14:38:59+00:00,346,45,1021,25.20,55.00,,,,
2026-09-01T14:39:14+00:00,347,45,1021,24.90,55.00,,,,
2026-09-01T14:39:30+00:00,348,45,1021,25.00,55.00,,,,
2026-09-01T14:39:45+00:00,349,45,1021,25.30,55.00,,,,
2026-09-01T14:40:00+00:00,350,45,1021,25.30,55.00,,,,
2026-09-01T14:40:16+00:00,351,45,1021,25.30,55.00,,,,
2026-09-01T14:40:31+00:00,352,45,1021,25.30,55.00,,,,
2026-09-01T14:40:47+00:00,353,45,1021,25.30,55.00,,,,
2026-09-01T14:41:08+00:00,354,45,1021,25.30,55.00,,,,
2026-09-01T14:41:23+00:00,355,45,1021,25.30,55.00,,,,
2026-09-01T14:41:38+00:00,356,45,1021,25.30,55.00,,,,
2026-09-01T14:41:54+00:00,357,45,1021,25.30,55.00,,,,
2026-09-01T14:42:13+00:00,358,45,1021,25.30,55.00,,,,
2026-09-01T14:42:29+00:00,359,45,1021,25.30,55.00,,,,
2026-09-01T14:42:44+00:00,360,45,1021,25.30,55.00,,,,
2026-09-01T14:43:00+00:00,361,45,1021,25.30,55.00,,,,
2026-09-01T14:43:15+00:00,362,762,1021,25.30,55.00,,,,
2026-09-01T14:43:31+00:00,363,365,1021,25.30,56.00,,,,
2026-09-01T14:43:47+00:00,364,359,1021,25.30,56.00,,,,
2026-09-01T14:44:02+00:00,365,219,1021,25.30,56.00,,,,
2026-09-01T14:44:17+00:00,366,172,1021,25.30,56.00,,,,
2026-09-01T14:44:33+00:00,367,149,1021,25.30,56.00,,,,
2026-09-01T14:44:48+00:00,368,133,1021,25.30,56.00,,,,
2026-09-01T14:45:04+00:00,369,122,1021,25.30,56.00,,,,
2026-09-01T14:45:19+00:00,370,113,1020,25.30,55.00,,,,
2026-09-01T14:45:35+00:00,371,109,1021,25.30,55.00,,,,
2026-09-01T14:45:50+00:00,372,109,15514,109,"1021,25.30,55.00",,,,
2026-09-01T14:46:05+00:00,373,110,1021,25.30,55.00,,,,
2026-09-01T14:46:21+00:00,374,105,1021,25.30,55.00,,,,
2026-09-01T14:46:36+00:00,375,102,1021,25.30,57.00,,,,
2026-09-01T14:46:52+00:00,376,99,1021,25.30,56.00,,,,
2026-09-01T14:47:07+00:00,377,98,1021,25.30,56.00,,,,
2026-09-01T14:47:23+00:00,378,96,1021,25.30,56.00,,,,
2026-09-01T14:47:39+00:00,379,94,1021,25.30,56.00,,,,
2026-09-01T14:47:54+00:00,380,93,1021,25.30,56.00,,,,
2026-09-01T14:48:10+00:00,381,92,1021,25.30,56.00,,,,
2026-09-01T14:48:25+00:00,382,91,1021,25.30,56.00,,,,
2026-09-01T14:48:41+00:00,383,91,1021,25.30,56.00,,,,
2026-09-01T14:48:58+00:00,384,378,1021,25.30,56.00,,,,
2026-09-01T14:49:13+00:00,385,213,1021,25.30,56.00,,,,
2026-09-01T14:49:29+00:00,386,167,1021,25.30,56.00,,,,
2026-09-01T14:49:46+00:00,387,140,1021,25.30,56.00,,,,
2026-09-01T14:50:01+00:00,388,123,1021,25.30,56.00,,,,
2026-09-01T14:50:17+00:00,389,119,1021,25.30,56.00,,,,
2026-09-01T14:50:33+00:00,390,107,1021,25.30,57.00,,,,
2026-09-01T14:50:49+00:00,391,102,1021,25.30,56.00,,,,
2026-09-01T14:51:04+00:00,392,98,1021,25.30,57.00,,,,
2026-09-01T14:51:54+00:00,393,90,1021,25.30,56.00,,,,
2026-09-01T14:52:09+00:00,394,88,1021,25.30,56.00,,,,
2026-09-01T14:52:25+00:00,395,87,1021,25.30,56.00,,,,
2026-09-01T14:52:41+00:00,396,47,1021,25.30,56.00,,,,
2026-09-01T14:52:58+00:00,397,45,1021,25.30,57.00,,,,
2026-09-01T14:53:14+00:00,398,336,1021,25.30,57.00,,,,
2026-09-01T14:53:29+00:00,399,146,1021,25.30,57.00,,,,
2026-09-01T14:53:48+00:00,400,103,1021,25.30,56.00,,,,
2026-09-01T14:54:03+00:00,401,82,1019,25.30,56.00,,,,
